"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","974","Button Remove muncul setelah Add to Cart, dan kembali ke Add to Cart setelah diklik","","Fri Sep 19 09:39:03 WIB 2025","passed","Fri Sep 19 09:39:04 WIB 2025","Inventory Page","inventory/inventory.spec.js","",""
"","1765","Melihat judul Swag Labs pada homepage","","Fri Sep 19 09:38:53 WIB 2025","passed","Fri Sep 19 09:38:54 WIB 2025","Inventory Page","inventory/inventory.spec.js","",""
"","744","Tidak bisa akses inventory-item.html tanpa session","","Fri Sep 19 09:39:02 WIB 2025","passed","Fri Sep 19 09:39:03 WIB 2025","Login Page","login/login.spec.js","",""
"","1525","Checkout 1 produk sampai selesai","","Fri Sep 19 09:38:55 WIB 2025","passed","Fri Sep 19 09:38:57 WIB 2025","Order Placement & Checkout","orderplacement/checkout.spec.js","",""
"","772","Tidak bisa akses checkout-step-one.html tanpa session","","Fri Sep 19 09:38:59 WIB 2025","passed","Fri Sep 19 09:39:00 WIB 2025","Login Page","login/login.spec.js","",""
"","973","Login dengan username dan password valid","","Fri Sep 19 09:38:55 WIB 2025","passed","Fri Sep 19 09:38:56 WIB 2025","Login Page","login/login.spec.js","",""
"","887","Detail product menampilkan gambar, judul, deskripsi, harga","","Fri Sep 19 09:38:56 WIB 2025","passed","Fri Sep 19 09:38:57 WIB 2025","Inventory Item Detail","inventory-item/inventory-item.spec.js","",""
"","544","Tidak bisa akses checkout-step-two.html tanpa session","","Fri Sep 19 09:39:00 WIB 2025","passed","Fri Sep 19 09:39:00 WIB 2025","Login Page","login/login.spec.js","",""
"","809","Tidak bisa login jika password salah","","Fri Sep 19 09:38:57 WIB 2025","passed","Fri Sep 19 09:38:58 WIB 2025","Login Page","login/login.spec.js","",""
"","1166","Dapat melihat detail product dari judul di cart","","Fri Sep 19 09:38:55 WIB 2025","passed","Fri Sep 19 09:38:56 WIB 2025","Inventory Item Detail","inventory-item/inventory-item.spec.js","",""
"","823","Tidak bisa akses checkout-complete.html tanpa session","","Fri Sep 19 09:39:00 WIB 2025","passed","Fri Sep 19 09:39:01 WIB 2025","Login Page","login/login.spec.js","",""
"","696","Tidak bisa login jika username kosong","","Fri Sep 19 09:38:56 WIB 2025","passed","Fri Sep 19 09:38:57 WIB 2025","Login Page","login/login.spec.js","",""
"","847","Button Add to Cart berubah menjadi Remove setelah diklik","","Fri Sep 19 09:39:00 WIB 2025","passed","Fri Sep 19 09:39:01 WIB 2025","Inventory Page","inventory/inventory.spec.js","",""
"","809","Button add to cart terlihat jika belum ditambahkan","","Fri Sep 19 09:38:57 WIB 2025","passed","Fri Sep 19 09:38:58 WIB 2025","Inventory Item Detail","inventory-item/inventory-item.spec.js","",""
"","30110","Filter Name (A to Z) mengurutkan produk ascending","","Fri Sep 19 09:39:08 WIB 2025","broken","Fri Sep 19 09:39:38 WIB 2025","Inventory Page","inventory/inventory.spec.js","",""
"","952","Melihat sub judul halaman Products","","Fri Sep 19 09:38:55 WIB 2025","passed","Fri Sep 19 09:38:56 WIB 2025","Inventory Page","inventory/inventory.spec.js","",""
"","852","Melihat deskripsi product tiap item","","Fri Sep 19 09:38:57 WIB 2025","passed","Fri Sep 19 09:38:58 WIB 2025","Inventory Page","inventory/inventory.spec.js","",""
"","913","Counter cart berkurang setelah Remove","","Fri Sep 19 09:39:04 WIB 2025","passed","Fri Sep 19 09:39:05 WIB 2025","Inventory Page","inventory/inventory.spec.js","",""
"","676","Tidak bisa login jika password kosong","","Fri Sep 19 09:38:56 WIB 2025","passed","Fri Sep 19 09:38:56 WIB 2025","Login Page","login/login.spec.js","",""
"","851","Semua opsi filter terlihat","","Fri Sep 19 09:39:07 WIB 2025","failed","Fri Sep 19 09:39:08 WIB 2025","Inventory Page","inventory/inventory.spec.js","",""
"","1837","Dapat melihat detail product dari judul di list products","","Fri Sep 19 09:38:53 WIB 2025","passed","Fri Sep 19 09:38:55 WIB 2025","Inventory Item Detail","inventory-item/inventory-item.spec.js","",""
"","960","Footer menampilkan icon social media dan copyright","","Fri Sep 19 09:41:10 WIB 2025","passed","Fri Sep 19 09:41:11 WIB 2025","Inventory Page","inventory/inventory.spec.js","",""
"","998","Counter cart bertambah setelah add to cart","","Fri Sep 19 09:38:59 WIB 2025","passed","Fri Sep 19 09:39:00 WIB 2025","Inventory Item Detail","inventory-item/inventory-item.spec.js","",""
"","730","Semua button Add to Cart terlihat dan enabled","","Fri Sep 19 09:38:59 WIB 2025","passed","Fri Sep 19 09:39:00 WIB 2025","Inventory Page","inventory/inventory.spec.js","",""
"","839","Melihat harga tiap product dengan format $x.xx","","Fri Sep 19 09:38:58 WIB 2025","passed","Fri Sep 19 09:38:59 WIB 2025","Inventory Page","inventory/inventory.spec.js","",""
"","594","Tidak bisa akses inventory.html tanpa session","","Fri Sep 19 09:38:58 WIB 2025","passed","Fri Sep 19 09:38:59 WIB 2025","Login Page","login/login.spec.js","",""
